time,xg,yg,zg,ug,vg,wg,phi,theta,psi
0.41,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.415,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.42,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.425,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.43,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.435,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.44,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.445,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.45,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.455,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.46,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.465,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.47,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.475,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.48,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.485,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.49,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.495,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.5,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.505,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.51,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.515,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.52,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.525,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.53,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.535,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.54,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.545,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.55,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.555,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.56,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.565,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.57,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.575,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.58,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.585,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.59,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.595,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
